time, Quad.GPS.X
32.598713,0.124717
32.698658,-0.678508
32.798603,-0.812039
32.898548,0.008285
32.998493,-0.680145
33.098438,1.405512
33.198383,0.784149
33.298328,-0.222319
33.398273,-0.768612
33.498219,0.774850
33.598164,0.229436
33.698109,0.100733
33.798054,0.711563
33.897999,-0.220565
33.997944,-0.361511
34.097889,0.130650
34.197834,0.421958
34.297779,0.494602
34.397724,-0.260782
34.497669,-0.423814
34.597614,0.375395
34.697559,-0.673292
34.797504,0.719140
34.897449,-0.105247
34.997395,0.179186
35.097340,0.322973
35.197285,0.354240
35.297230,0.385570
35.397175,0.060932
35.497120,-0.855242
35.597065,-1.092237
35.697010,0.760262
35.796955,-0.105360
35.896900,0.753852
35.996845,0.601579
36.096790,-1.443754
36.196735,-1.012523
36.296680,0.240174
36.396626,0.419147
36.496571,-0.629310
36.596516,0.675675
36.696461,-1.813998
36.796406,0.235004
36.896351,-1.557451
36.996296,0.830509
37.096241,0.327671
37.196186,0.454160
37.296131,0.448359
37.396076,0.636426
37.496021,0.430609
37.595966,0.139985
37.695911,-0.071100
37.795856,0.604863
37.895802,0.951927
37.995747,-0.177236
38.095692,0.433349
38.195637,0.142558
38.295582,-0.680885
38.395527,0.866985
38.495472,-0.508597
38.595417,0.608663
38.695362,0.609319
38.795307,-0.740648
38.895252,0.136789
38.995197,-0.481984
39.095142,-0.127515
39.195087,0.031843
39.295033,-0.056201
39.394978,-0.802028
39.494923,-0.564340
39.594868,-0.324633
39.694813,0.911694
39.794758,0.437022
39.894703,-0.613286
39.994648,-0.262067
40.094593,-0.230247
40.194538,-1.010776
40.294483,0.422192
40.394428,0.929723
40.494373,-0.624752
40.594318,1.629074
40.694263,1.239802
40.794209,-0.697848
40.894154,-0.154432
40.994099,-0.825867
41.094044,-0.579345
41.193989,-0.163360
41.293934,0.693517
41.393879,0.496680
41.493824,1.108164
41.593769,0.556025
41.693714,0.585770
41.793659,-1.158809
41.893604,0.556042
41.993549,-0.152580
42.093494,1.260730
42.193439,-0.511364
42.293385,-0.526122
42.393330,0.481338
42.493275,0.580296
42.593220,0.012335
42.693165,0.404855
42.793110,0.357137
42.893055,-1.156299
42.993000,-0.380763
43.092945,-0.893798
43.192890,-0.859544
43.292835,0.766313
43.392780,-0.603351
43.492725,-0.851125
43.592670,-0.931400
43.692616,-0.656421
43.792561,-0.149221
43.892506,-0.662541
43.992451,0.570653
44.092396,-0.508194
44.192341,0.772239
44.292286,0.855945
44.392231,1.032628
44.492176,-0.086956
44.592121,0.252162
44.692066,-0.590077
44.792011,0.661520
44.891956,-1.220664
44.991901,0.550758
45.091846,-0.113494
45.191792,-0.007225
45.291737,0.367579
45.391682,-1.591333
45.491627,-0.050422
45.591572,0.700184
45.691517,-0.130413
45.791462,0.665526
45.891407,-0.044850
45.991352,-0.430480
46.091297,-0.259347
46.191242,-1.020223
46.291187,1.018716
46.391132,0.672243
46.491077,-1.406864
46.591022,-1.397811
46.690968,-0.326248
46.790913,0.531996
46.890858,0.468233
46.990803,0.031051
47.090748,0.865203
47.190693,-0.700351
47.290638,0.057046
47.390583,-0.653142
47.490528,-1.056409
47.590473,-1.101843
47.690418,-1.412258
47.790363,0.767762
47.890308,-0.519512
47.990253,0.289826
48.090199,-0.611480
48.190144,-0.304274
48.290089,0.640547
48.390034,0.532567
48.489979,1.305768
48.589924,1.428867
48.689869,-0.003431
48.789814,0.270219
48.889759,-0.630298
48.989704,-1.845166
49.089649,-0.544354
49.189594,-0.157511
49.289539,0.355093
49.389484,0.244645
49.489429,-0.447444
49.589375,-0.880132
49.689320,0.502632
49.789265,0.654029
49.889210,-0.068791
49.989155,-0.006757
50.089100,-0.370669
50.189045,0.299422
50.288990,-0.299494
50.388935,0.472084
50.488880,-0.949010
50.588825,-0.487180
50.688770,0.872160
50.788715,0.304532
50.888660,0.533564
50.988605,-0.371620
51.088551,-0.325684
51.188496,1.048469
51.288441,-0.195306
51.388386,-0.308883
51.488331,-1.330557
51.588276,0.019219
51.688221,0.141581
51.788166,-0.259256
51.888111,-0.164164
51.988056,1.232419
52.088001,-0.945981
52.187946,-0.439453
52.287891,0.094325
52.387836,-0.328339
52.487782,-0.693591
52.587727,-0.441970
52.687672,0.241735
52.787617,-1.649752
52.887562,-0.065209
52.987507,-0.329914
53.087452,-0.473305
53.187397,0.661373
53.287342,0.179526
53.387287,0.762650
53.487232,1.398374
53.587177,1.185473
53.687122,0.654966
53.787067,0.012964
53.887012,-0.107738
53.986958,0.192572
54.086903,0.613127
54.186848,0.406274
54.286793,1.190365
54.386738,0.805024
54.486683,-1.495521
54.586628,-0.962299
54.686573,-0.150689
54.786518,-0.703906
54.886463,-0.398763
54.986408,1.405359
55.086353,0.737473
55.186298,-0.494582
55.286243,1.484576
55.386189,0.182918
55.486134,-0.855950
55.586079,-0.475089
55.686024,-1.338199
