time, Quad.MagYaw, Quad.Est.Yaw, Quad.Yaw
2.000037,-0.144024,-0.009386,0.001591
2.005037,nan,-0.008924,0.001610
2.010037,-0.054974,-0.013263,0.001626
2.015036,nan,-0.012926,0.001643
2.020036,-0.215423,-0.030249,0.001662
2.025036,nan,-0.029051,0.001683
2.030035,-0.072927,-0.034018,0.001705
2.035035,nan,-0.032202,0.001727
2.040035,-0.065243,-0.033562,0.001748
2.045034,nan,-0.031370,0.001766
2.050034,-0.117050,-0.040526,0.001782
2.055033,nan,-0.040066,0.001793
2.060033,-0.155803,-0.049990,0.001803
2.065033,nan,-0.048983,0.001813
2.070032,0.030031,-0.044187,0.001823
2.075032,nan,-0.046737,0.001831
2.080032,0.009783,-0.044304,0.001838
2.085031,nan,-0.041297,0.001845
2.090031,-0.339167,-0.064744,0.001853
2.095031,nan,-0.066196,0.001859
2.100030,0.162924,-0.050069,0.001865
2.105030,nan,-0.050071,0.001874
2.110029,-0.060638,-0.050087,0.001888
2.115029,nan,-0.052859,0.001910
2.120029,0.168723,-0.034568,0.001938
2.125028,nan,-0.037264,0.001970
2.130028,-0.131753,-0.043454,0.002006
2.135028,nan,-0.045644,0.002044
2.140027,-0.096498,-0.051684,0.002086
2.145027,nan,-0.052615,0.002125
2.150027,0.019709,-0.047211,0.002159
2.155026,nan,-0.049277,0.002190
2.160026,-0.088497,-0.054127,0.002213
2.165025,nan,-0.052936,0.002226
2.170025,0.102026,-0.041541,0.002227
2.175025,nan,-0.045157,0.002212
2.180024,-0.038679,-0.042586,0.002181
2.185024,nan,-0.042572,0.002137
2.190024,-0.004026,-0.040029,0.002087
2.195023,nan,-0.040704,0.002031
2.200023,-0.013665,-0.039554,0.001975
2.205023,nan,-0.037246,0.001924
2.210022,-0.002246,-0.034944,0.001874
2.215022,nan,-0.035375,0.001824
2.220021,-0.006898,-0.031990,0.001773
2.225021,nan,-0.031267,0.001720
2.230021,0.173540,-0.016877,0.001661
2.235020,nan,-0.016951,0.001599
2.240020,-0.110682,-0.024907,0.001534
2.245020,nan,-0.025440,0.001469
2.250019,0.054051,-0.021412,0.001405
