time, Quad.Est.E.Yaw, Quad.Est.S.Yaw
2.160026,-0.056332,0.027724
2.165025,-0.055160,0.028408
2.170025,-0.043770,0.027724
2.175025,-0.047373,0.028408
2.180024,-0.044781,0.027724
2.185024,-0.044719,0.028408
2.190024,-0.042138,0.027724
2.195023,-0.042746,0.028408
2.200023,-0.041550,0.027724
2.205023,-0.039180,0.028408
2.210022,-0.036838,0.027724
2.215022,-0.037209,0.028408
2.220021,-0.033784,0.027724
2.225021,-0.032997,0.028408
2.230021,-0.018562,0.027724
2.235020,-0.018562,0.028408
2.240020,-0.026468,0.027724
2.245020,-0.026922,0.028408
2.250019,-0.022842,0.027724
2.255019,-0.021844,0.028408
2.260019,-0.029176,0.027724
2.265018,-0.029397,0.028408
2.270018,-0.024954,0.027724
2.275017,-0.026248,0.028408
2.280017,-0.018331,0.027724
2.285017,-0.015749,0.028408
2.290016,-0.024854,0.027724
2.295016,-0.020475,0.028408
2.300016,-0.013215,0.027724
2.305015,-0.012375,0.028408
2.310015,-0.017218,0.027724
2.315015,-0.015996,0.028408
2.320014,-0.003614,0.027724
2.325014,-0.002432,0.028408
2.330014,0.002564,0.027724
2.335013,0.003015,0.028408
2.340013,0.005700,0.027724
2.345012,0.006706,0.028408
2.350012,-0.004615,0.027724
2.355012,-0.007345,0.028408
2.360011,-0.006127,0.027724
2.365011,-0.005817,0.028408
2.370011,-0.004024,0.027724
2.375010,-0.003718,0.028408
2.380010,0.006408,0.027724
2.385010,0.006197,0.028408
2.390009,-0.014467,0.027724
2.395009,-0.013947,0.028408
2.400008,-0.007243,0.027724
2.405008,-0.007852,0.028408
2.410008,-0.010203,0.027724
2.415007,-0.007574,0.028408
2.420007,-0.016200,0.027724
2.425007,-0.019673,0.028408
2.430006,-0.022585,0.027724
2.435006,-0.022285,0.028408
2.440006,-0.035851,0.027724
2.445005,-0.035564,0.028408
2.450005,-0.035598,0.027724
2.455004,-0.033596,0.028408
2.460004,-0.017977,0.027724
2.465004,-0.017382,0.028408
2.470003,-0.015779,0.027724
2.475003,-0.014911,0.028408
2.480003,-0.007999,0.027724
2.485002,-0.007710,0.028408
2.490002,-0.019904,0.027724
2.495002,-0.017016,0.028408
2.500001,-0.006332,0.027724
2.505001,-0.007058,0.028408
2.510000,-0.004276,0.027724
2.515000,-0.004030,0.028408
2.520000,0.000755,0.027724
2.524999,-0.001039,0.028408
2.529999,-0.003612,0.027724
2.534999,-0.004728,0.028408
2.539998,-0.002194,0.027724
2.544998,-0.001665,0.028408
2.549998,0.011532,0.027724
2.554997,0.010941,0.028408
2.559997,0.011424,0.027724
2.564996,0.012118,0.028408
2.569996,0.011990,0.027724
2.574996,0.011352,0.028408
2.579995,-0.002540,0.027724
2.584995,-0.003003,0.028408
2.589995,-0.004121,0.027724
2.594994,-0.003492,0.028408
2.599994,0.007453,0.027724
2.604994,0.008915,0.028408
2.609993,0.002028,0.027724
2.614993,0.004949,0.028408
2.619992,0.013994,0.027724
2.624992,0.018142,0.028408
2.629992,0.026069,0.027724
2.634991,0.025469,0.028408
2.639991,0.041644,0.027724
2.644991,0.039908,0.028408
2.649990,0.035792,0.027724
2.654990,0.036378,0.028408
2.659990,0.042308,0.027724
2.664989,0.042028,0.028408
2.669989,0.046171,0.027724
2.674989,0.047784,0.028408
2.679988,0.038291,0.027724
2.684988,0.037709,0.028408
2.689987,0.041316,0.027724
2.694987,0.037234,0.028408
2.699987,0.035222,0.027724
2.704986,0.039193,0.028408
2.709986,0.029175,0.027724
2.714986,0.031545,0.028408
2.719985,0.037983,0.027724
2.724985,0.038197,0.028408
2.729985,0.025684,0.027724
2.734984,0.027172,0.028408
2.739984,0.029348,0.027724
2.744983,0.028262,0.028408
2.749983,0.029623,0.027724
2.754983,0.028548,0.028408
