time, Quad.Est.E.Yaw, Quad.Est.S.Yaw
2.524999,0.001620,0.052465
2.529999,0.003070,0.052469
2.534999,0.001954,0.052475
2.539998,0.001358,0.052479
2.544998,0.001886,0.052484
2.549998,0.001534,0.052488
2.554997,0.000944,0.052494
2.559997,0.001585,0.052498
2.564996,0.002279,0.052503
2.569996,0.001516,0.052507
2.574996,0.000879,0.052513
2.579995,-0.001512,0.052517
2.584995,-0.001976,0.052522
2.589995,0.000197,0.052526
2.594994,0.000827,0.052532
2.599994,0.001372,0.052536
2.604994,0.002834,0.052541
2.609993,0.001627,0.052545
2.614993,0.004548,0.052551
2.619992,0.005950,0.052555
2.624992,0.010098,0.052560
2.629992,0.009014,0.052564
2.634991,0.008413,0.052570
2.639991,0.009934,0.052574
2.644991,0.008198,0.052579
2.649990,0.008389,0.052583
2.654990,0.008975,0.052589
2.659990,0.009209,0.052593
2.664989,0.008929,0.052598
2.669989,0.007028,0.052602
2.674989,0.008641,0.052608
2.679988,0.011850,0.052612
2.684988,0.011269,0.052618
2.689987,0.014548,0.052621
2.694987,0.010466,0.052627
2.699987,0.009488,0.052631
2.704986,0.013459,0.052637
2.709986,0.013499,0.052640
2.714986,0.015868,0.052646
2.719985,0.017167,0.052650
2.724985,0.017381,0.052656
2.729985,0.016512,0.052659
2.734984,0.018001,0.052665
2.739984,0.018254,0.052669
2.744983,0.017168,0.052674
2.749983,0.015919,0.052678
2.754983,0.014843,0.052684
2.759982,0.012659,0.052688
2.764982,0.011201,0.052693
2.769982,0.012856,0.052697
2.774981,0.012579,0.052703
2.779981,0.010984,0.052707
2.784981,0.010467,0.052712
2.789980,0.009915,0.052716
2.794980,0.007920,0.052722
2.799979,0.008712,0.052726
2.804979,0.009673,0.052731
2.809979,0.009502,0.052735
2.814978,0.006691,0.052741
2.819978,0.004102,0.052745
2.824978,0.004687,0.052750
2.829977,0.005968,0.052754
2.834977,0.005711,0.052760
2.839977,0.003115,0.052764
2.844976,0.004477,0.052769
2.849976,0.004288,0.052773
2.854975,0.002771,0.052779
2.859975,0.002656,0.052783
2.864975,0.003205,0.052788
2.869974,0.003797,0.052792
2.874974,0.002365,0.052798
2.879974,0.001429,0.052802
2.884973,-0.001958,0.052807
2.889973,-0.003231,0.052811
2.894973,-0.004675,0.052817
2.899972,-0.003499,0.052820
2.904972,-0.005942,0.052826
2.909971,-0.005631,0.052830
2.914971,-0.003697,0.052836
2.919971,-0.004958,0.052839
2.924970,-0.001643,0.052845
2.929970,-0.001244,0.052849
2.934970,-0.001881,0.052855
2.939969,-0.001468,0.052858
2.944969,-0.000563,0.052864
2.949969,-0.000939,0.052868
2.954968,-0.000554,0.052873
2.959968,-0.000001,0.052877
2.964967,0.001338,0.052883
2.969967,0.002216,0.052887
2.974967,-0.000064,0.052892
2.979966,-0.002541,0.052896
2.984966,-0.003074,0.052902
2.989966,-0.004677,0.052906
2.994965,-0.003962,0.052911
2.999965,-0.003670,0.052915
3.004965,-0.000877,0.052921
3.009964,-0.001212,0.052924
3.014964,-0.000060,0.052930
3.019964,-0.002739,0.052934
3.024963,-0.005637,0.052940
3.029963,-0.004154,0.052943
3.034962,-0.002845,0.052949
3.039962,-0.003118,0.052953
3.044962,-0.003908,0.052958
3.049961,-0.005640,0.052962
3.054961,-0.005864,0.052968
3.059961,-0.004878,0.052972
3.064960,-0.005323,0.052977
3.069960,-0.002330,0.052981
3.074960,-0.003205,0.052987
3.079959,-0.006193,0.052991
3.084959,-0.004629,0.052996
3.089958,-0.001843,0.053000
3.094958,-0.003665,0.053006
3.099958,-0.002573,0.053009
3.104957,-0.002228,0.053015
3.109957,-0.000399,0.053019
3.114957,0.000950,0.053025
3.119956,0.001310,0.053028
3.124956,0.000234,0.053034
3.129956,0.002174,0.053038
3.134955,0.000606,0.053043
3.139955,0.000765,0.053047
3.144954,0.000922,0.053053
3.149954,0.002173,0.053057
3.154954,0.007952,0.053062
3.159953,0.005935,0.053066
3.164953,0.004350,0.053072
3.169953,0.002887,0.053075
3.174952,0.000913,0.053081
3.179952,0.000932,0.053085
3.184952,-0.000555,0.053091
3.189951,0.000650,0.053094
3.194951,0.002706,0.053100
3.199950,0.004072,0.053104
3.204950,0.000844,0.053109
3.209950,0.002209,0.053113
3.214949,-0.001459,0.053119
3.219949,0.001047,0.053123
3.224949,0.005351,0.053128
3.229948,0.005822,0.053132
3.234948,0.007250,0.053138
3.239948,0.005304,0.053141
3.244947,0.004916,0.053147
3.249947,0.006232,0.053151
3.254946,0.007589,0.053156
3.259946,0.008365,0.053160
3.264946,0.008451,0.053166
3.269945,0.005710,0.053170
3.274945,0.009102,0.053175
3.279945,0.009243,0.053179
3.284944,0.008248,0.053185
3.289944,0.008612,0.053188
3.294944,0.007040,0.053194
3.299943,0.006709,0.053198
3.304943,0.003699,0.053203
3.309942,0.006969,0.053207
3.314942,0.008032,0.053213
3.319942,0.006557,0.053217
3.324941,0.008006,0.053222
3.329941,0.007209,0.053226
3.334941,0.004180,0.053232
3.339940,0.004130,0.053235
3.344940,0.004401,0.053241
3.349940,0.005942,0.053245
3.354939,0.001209,0.053250
3.359939,0.002525,0.053254
3.364938,0.002866,0.053260
3.369938,0.002712,0.053264
3.374938,0.001208,0.053269
3.379937,0.000861,0.053273
3.384937,0.000296,0.053279
3.389937,0.001621,0.053282
3.394936,0.002375,0.053288
3.399936,0.001451,0.053292
3.404936,0.004480,0.053297
3.409935,0.006761,0.053301
3.414935,0.004602,0.053307
3.419935,0.004671,0.053310
3.424934,0.002995,0.053316
3.429934,0.001724,0.053320
3.434933,-0.002255,0.053325
