time, Quad.MagYaw, Quad.Est.Yaw, Quad.Yaw
2.255019,nan,-0.009457,0.001345
2.260019,-0.144487,-0.007125,0.001289
2.265018,nan,-0.007408,0.001239
2.270018,0.030670,-0.007531,0.001196
2.275017,nan,-0.008874,0.001156
2.280017,0.087103,-0.009674,0.001115
2.285017,nan,-0.007146,0.001068
2.290016,-0.109445,-0.009158,0.001022
2.295016,nan,-0.004832,0.000978
2.300016,0.089156,-0.006054,0.000933
2.305015,nan,-0.005268,0.000886
2.310015,-0.089765,-0.004041,0.000833
2.315015,nan,-0.002886,0.000777
2.320014,0.124161,-0.001123,0.000724
2.325014,nan,-0.000001,0.000676
2.330014,0.074205,-0.000953,0.000630
2.335013,nan,-0.000558,0.000583
2.340013,0.009189,0.001842,0.000531
2.345012,nan,0.002787,0.000480
2.350012,-0.106308,-0.000071,0.000429
2.355012,nan,-0.002861,0.000380
2.360011,0.000531,-0.002203,0.000338
2.365011,nan,-0.001936,0.000306
2.370011,0.032964,-0.003221,0.000279
2.375010,nan,-0.002945,0.000255
2.380010,0.126150,-0.002787,0.000232
2.385010,nan,-0.003023,0.000213
2.390009,-0.243073,-0.004647,0.000201
2.395009,nan,-0.004134,0.000197
2.400008,0.110068,-0.007180,0.000201
2.405008,nan,-0.007778,0.000213
2.410008,-0.036554,-0.007903,0.000230
2.415007,nan,-0.005254,0.000247
2.420007,-0.158126,-0.002025,0.000267
2.425007,nan,-0.005473,0.000289
2.430006,-0.041304,-0.006783,0.000308
2.435006,nan,-0.006466,0.000323
2.440006,-0.191546,-0.007032,0.000331
2.445005,nan,-0.006737,0.000337
2.450005,-0.063592,-0.004407,0.000343
2.455004,nan,-0.002397,0.000351
2.460004,0.169841,-0.002380,0.000359
2.465004,nan,-0.001777,0.000365
2.470003,-0.012262,-0.000434,0.000367
2.475003,nan,0.000432,0.000363
2.480003,0.073766,0.000560,0.000356
2.485002,nan,0.000840,0.000348
2.490002,-0.158800,0.000234,0.000340
2.495002,nan,0.003110,0.000330
2.500001,0.095874,0.005300,0.000313
2.505001,nan,0.004546,0.000288
2.510000,0.057142,0.002213,0.000258
2.515000,nan,0.002426,0.000231
2.520000,0.043736,0.003632,0.000210
2.524999,nan,0.001816,0.000193
2.529999,-0.051745,0.003255,0.000180
2.534999,nan,0.002123,0.000167
2.539998,0.035566,0.001517,0.000155
2.544998,nan,0.002031,0.000142
2.549998,0.174383,0.001667,0.000126
2.554997,nan,0.001058,0.000112
2.559997,0.009616,0.001688,0.000096
2.564996,nan,0.002363,0.000081
2.569996,0.019692,0.001589,0.000068
2.574996,nan,0.000938,0.000057
2.579995,-0.140615,-0.001458,0.000052
2.584995,nan,-0.001927,0.000048
2.589995,-0.043604,0.000242,0.000042
2.594994,nan,0.000866,0.000038
2.599994,0.132386,0.001409,0.000036
2.604994,nan,0.002865,0.000029
2.609993,-0.066162,0.001650,0.000016
2.614993,nan,0.004550,-0.000002
2.619992,0.105776,0.005935,-0.000024
2.624992,nan,0.010052,-0.000052
2.629992,0.134225,0.008940,-0.000089
2.634991,nan,0.008289,-0.000133
2.639991,0.217476,0.009772,-0.000182
2.644991,nan,0.007975,-0.000234
2.649990,-0.016199,0.008124,-0.000286
2.654990,nan,0.008649,-0.000336
2.659990,0.110356,0.008844,-0.000384
2.664989,nan,0.008506,-0.000432
2.669989,0.118299,0.006567,-0.000479
2.674989,nan,0.008123,-0.000527
2.679988,-0.114827,0.011297,-0.000570
2.684988,nan,0.010672,-0.000603
2.689987,0.044635,0.013929,-0.000628
2.694987,nan,0.009821,-0.000648
2.699987,0.022135,0.008830,-0.000664
2.704986,nan,0.012786,-0.000676
2.709986,-0.092290,0.012817,-0.000686
2.714986,nan,0.015175,-0.000694
2.719985,0.099010,0.016468,-0.000703
2.724985,nan,0.016672,-0.000711
2.729985,-0.114875,0.015797,-0.000718
2.734984,nan,0.017278,-0.000724
2.739984,0.051705,0.017528,-0.000728
2.744983,nan,0.016434,-0.000736
2.749983,0.060229,0.015174,-0.000751
2.754983,nan,0.014077,-0.000771
2.759982,-0.079202,0.011874,-0.000795
2.764982,nan,0.010384,-0.000822
2.769982,0.038589,0.012016,-0.000851
2.774981,nan,0.011709,-0.000874
2.779981,-0.095832,0.010100,-0.000890
2.784981,nan,0.009570,-0.000899
2.789980,-0.125617,0.009015,-0.000899
2.794980,nan,0.007025,-0.000892
2.799979,-0.179031,0.007828,-0.000877
2.804979,nan,0.008817,-0.000850
2.809979,0.202526,0.008674,-0.000812
2.814978,nan,0.005914,-0.000769
2.819978,0.015888,0.003360,-0.000723
2.824978,nan,0.004002,-0.000675
2.829977,-0.084870,0.005325,-0.000620
2.834977,nan,0.005139,-0.000560
2.839977,-0.170074,0.002591,-0.000501
2.844976,nan,0.004018,-0.000448
2.849976,0.107598,0.003869,-0.000401
2.854975,nan,0.002402,-0.000362
2.859975,0.074891,0.002311,-0.000335
2.864975,nan,0.002886,-0.000315
2.869974,0.150044,0.003490,-0.000304
2.874974,nan,0.002064,-0.000302
2.879974,0.078932,0.001123,-0.000309
2.884973,nan,-0.002277,-0.000322
2.889973,0.052753,-0.003563,-0.000340
2.894973,nan,-0.005031,-0.000360
2.899972,-0.151919,-0.003873,-0.000385
2.904972,nan,-0.006349,-0.000413
2.909971,-0.243259,-0.006063,-0.000445
2.914971,nan,-0.004167,-0.000477
2.919971,-0.047540,-0.005452,-0.000507
2.924970,nan,-0.002177,-0.000541
2.929970,0.015578,-0.001807,-0.000578
2.934970,nan,-0.002489,-0.000616
2.939969,-0.002655,-0.002108,-0.000656
2.944969,nan,-0.001251,-0.000695
2.949969,-0.040963,-0.001656,-0.000731
2.954968,nan,-0.001310,-0.000762
2.959968,0.038821,-0.000779,-0.000787
2.964967,nan,0.000535,-0.000806
2.969967,0.058541,0.001403,-0.000816
2.974967,nan,-0.000878,-0.000812
2.979966,0.112143,-0.003345,-0.000796
2.984966,nan,-0.003849,-0.000769
2.989966,0.100568,-0.005426,-0.000735
2.994965,nan,-0.004666,-0.000697
2.999965,0.268053,-0.004344,-0.000659
3.004965,nan,-0.001508,-0.000625
3.009964,0.024164,-0.001817,-0.000592
3.014964,nan,-0.000625,-0.000558
3.019964,0.018297,-0.003276,-0.000521
3.024963,nan,-0.006123,-0.000476
3.029963,0.033920,-0.004595,-0.000414
3.034962,nan,-0.003193,-0.000329
3.039962,-0.022555,-0.003382,-0.000215
3.044962,nan,-0.004010,-0.000070
3.049961,0.118689,-0.005605,0.000114
3.054961,nan,-0.005569,0.000345
3.059961,0.027414,-0.004370,0.000629
3.064960,nan,-0.004423,0.000974
3.069960,0.093256,-0.001118,0.001386
3.074960,nan,-0.001438,0.001870
3.079959,-0.053398,-0.003996,0.002430
3.084959,nan,-0.001692,0.003072
3.089958,-0.083983,0.001656,0.003801
3.094958,nan,0.000786,0.004622
3.099958,0.021793,0.002588,0.005540
3.104957,nan,0.004119,0.006558
3.109957,0.226983,0.006819,0.007680
3.114957,nan,0.009607,0.008912
3.119956,0.075104,0.011017,0.010261
3.124956,nan,0.011661,0.011730
3.129956,0.221996,0.014840,0.013314
3.134955,nan,0.015273,0.015018
3.139955,0.154522,0.016865,0.016846
3.144954,nan,0.019320,0.018799
3.149954,0.102317,0.022205,0.020880
3.154954,nan,0.030590,0.023090
3.159953,0.066463,0.030412,0.025428
3.164953,nan,0.031738,0.027890
3.169953,-0.181466,0.032313,0.030472
3.174952,nan,0.033536,0.033172
3.179952,0.169375,0.035779,0.035988
3.184952,nan,0.037775,0.038928
3.189951,-0.159029,0.041401,0.041991
3.194951,nan,0.047237,0.045178
3.199950,0.037117,0.051221,0.048486
3.204950,nan,0.052060,0.051910
3.209950,0.130747,0.056229,0.055448
3.214949,nan,0.056899,0.059097
3.219949,0.135506,0.062385,0.062851
3.224949,nan,0.071278,0.066707
3.229948,0.067451,0.074893,0.070667
3.234948,nan,0.081160,0.074730
3.239948,0.080265,0.082517,0.078887
3.244947,nan,0.087195,0.083135
3.249947,0.060763,0.091960,0.087475
3.254946,nan,0.098602,0.091906
3.259946,0.157592,0.102972,0.096424
3.264946,nan,0.108545,0.101019
3.269945,0.031056,0.109519,0.105680
3.274945,nan,0.118550,0.110394
3.279945,0.094812,0.122485,0.115148
3.284944,nan,0.127224,0.119936
3.289944,0.206422,0.131435,0.124753
3.294944,nan,0.135665,0.129596
3.299943,0.218891,0.139222,0.134462
3.304943,nan,0.142069,0.139349
3.309942,0.273809,0.149263,0.144263
3.314942,nan,0.156246,0.149205
3.319942,-0.114255,0.158739,0.154168
3.324941,nan,0.166152,0.159142
3.329941,0.458717,0.169343,0.164129
3.334941,nan,0.172306,0.169126
3.339940,0.109304,0.176261,0.174136
3.344940,nan,0.182553,0.179157
3.349940,0.176233,0.188117,0.184190
3.354939,nan,0.189433,0.189235
3.359939,0.169258,0.194792,0.194289
3.364938,nan,0.201203,0.199349
3.369938,0.300403,0.205101,0.204417
3.374938,nan,0.209685,0.209492
3.379937,0.099619,0.213400,0.214571
3.384937,nan,0.218935,0.219657
3.389937,0.260435,0.224336,0.224755
3.394936,nan,0.231218,0.229867
