time, Quad.Est.E.Pos, Quad.Est.S.Z
2.859975,0.851054,0.954572
2.864975,0.853644,0.956455
2.869974,0.855175,0.957711
2.874974,0.857751,0.959595
2.879974,0.859347,0.960852
2.884973,0.861920,0.962737
2.889973,0.862023,0.963995
2.894973,0.864514,0.965882
2.899972,0.866110,0.967140
2.904972,0.868590,0.969028
2.909971,0.871623,0.970287
2.914971,0.874177,0.972176
2.919971,0.874805,0.973436
2.924970,0.877320,0.975326
2.929970,0.877196,0.976587
2.934970,0.879643,0.978478
2.939969,0.879738,0.979740
2.944969,0.882123,0.981633
2.949969,0.879972,0.982895
2.954968,0.882196,0.984789
2.959968,0.883676,0.986053
2.964967,0.885910,0.987948
2.969967,0.887442,0.989212
2.974967,0.889675,0.991109
2.979966,0.890981,0.992373
2.984966,0.893214,0.994271
2.989966,0.895327,0.995537
2.994965,0.897602,0.997436
2.999965,0.897727,0.998702
3.004965,0.899934,1.000602
3.009964,0.901198,1.001869
3.014964,0.903378,1.003770
3.019964,0.902381,1.005038
3.024963,0.904447,1.006941
3.029963,0.908423,1.008209
3.034962,0.910594,1.010113
3.039962,0.910845,1.011383
3.044962,0.912968,1.013287
3.049961,0.914261,1.014558
3.054961,0.916359,1.016464
3.059961,0.919083,1.017735
3.064960,0.921224,1.019642
3.069960,0.921787,1.020913
3.074960,0.923902,1.022822
3.079959,0.924846,1.024094
3.084959,0.926939,1.026004
3.089958,0.927075,1.027277
3.094958,0.929121,1.029188
3.099958,0.930938,1.030462
3.104957,0.933003,1.032373
3.109957,0.935603,1.033648
3.114957,0.937747,1.035561
3.119956,0.940567,1.036837
3.124956,0.942800,1.038751
3.129956,0.944268,1.040027
3.134955,0.946496,1.041942
3.139955,0.947729,1.043219
3.144954,0.949951,1.045135
3.149954,0.951494,1.046413
3.154954,0.953749,1.048331
3.159953,0.953746,1.049609
3.164953,0.955946,1.051528
3.169953,0.955487,1.052807
3.174952,0.957632,1.054726
3.179952,0.959576,1.056007
3.184952,0.961743,1.057927
3.189951,0.964705,1.059208
3.194951,0.966942,1.061130
3.199950,0.968381,1.062411
3.204950,0.970650,1.064334
3.209950,0.972938,1.065616
3.214949,0.975245,1.067540
3.219949,0.977954,1.068823
3.224949,0.980287,1.070748
3.229948,0.982241,1.072032
3.234948,0.984601,1.073958
3.239948,0.986853,1.075242
3.244947,0.989242,1.077169
3.249947,0.989987,1.078455
3.254946,0.992362,1.080383
3.259946,0.992558,1.081669
3.264946,0.994926,1.083598
3.269945,0.996736,1.084885
3.274945,0.999116,1.086815
3.279945,1.000330,1.088102
3.284944,1.002715,1.090034
3.289944,1.004111,1.091321
3.294944,1.006519,1.093254
3.299943,1.009179,1.094543
3.304943,1.011599,1.096476
3.309942,1.013635,1.097765
3.314942,1.016043,1.099700
3.319942,1.017494,1.100990
3.324941,1.019903,1.102926
3.329941,1.020621,1.104216
3.334941,1.023023,1.106153
3.339940,1.024639,1.107445
3.344940,1.027031,1.109382
3.349940,1.028133,1.110674
3.354939,1.030535,1.112613
3.359939,1.032567,1.113906
3.364938,1.034964,1.115846
3.369938,1.036551,1.117139
3.374938,1.038958,1.119080
3.379937,1.040907,1.120374
3.384937,1.043325,1.122316
3.389937,1.044593,1.123611
3.394936,1.047025,1.125553
3.399936,1.048677,1.126849
3.404936,1.051115,1.128793
3.409935,1.053456,1.130089
3.414935,1.055894,1.132034
3.419935,1.057544,1.133331
3.424934,1.059983,1.135277
3.429934,1.061620,1.136574
3.434933,1.064066,1.138521
3.439933,1.065464,1.139820
3.444933,1.067918,1.141767
3.449932,1.069579,1.143066
3.454932,1.072016,1.145015
3.459932,1.073709,1.146315
3.464931,1.076164,1.148265
3.469931,1.077892,1.149565
3.474931,1.080366,1.151516
3.479930,1.082008,1.152817
3.484930,1.084495,1.154768
3.489929,1.086082,1.156070
3.494929,1.088571,1.158023
3.499929,1.090396,1.159325
3.504928,1.092890,1.161279
3.509928,1.094765,1.162582
3.514928,1.097263,1.164536
3.519927,1.099012,1.165840
3.524927,1.101518,1.167796
3.529927,1.102949,1.169100
3.534926,1.105452,1.171057
3.539926,1.107504,1.172361
3.544925,1.110051,1.174319
3.549925,1.111728,1.175625
3.554925,1.114276,1.177583
3.559924,1.115942,1.178889
3.564924,1.118500,1.180849
3.569924,1.120257,1.182156
3.574923,1.122846,1.184116
3.579923,1.124859,1.185424
3.584923,1.127489,1.187385
3.589922,1.129495,1.188693
3.594922,1.132158,1.190656
3.599921,1.133786,1.191965
3.604921,1.136467,1.193928
3.609921,1.137964,1.195237
3.614920,1.140649,1.197202
3.619920,1.142875,1.198512
3.624920,1.145590,1.200477
3.629919,1.147798,1.201787
3.634919,1.150573,1.203754
3.639919,1.152792,1.205065
3.644918,1.155616,1.207032
3.649918,1.156824,1.208344
3.654917,1.159603,1.210312
3.659917,1.160971,1.211625
3.664917,1.163753,1.213594
3.669916,1.166459,1.214907
3.674916,1.169322,1.216877
3.679916,1.171993,1.218191
3.684915,1.174928,1.220162
3.689915,1.176700,1.221476
3.694915,1.179629,1.223448
3.699914,1.181462,1.224763
3.704914,1.184377,1.226736
3.709913,1.186688,1.228051
3.714913,1.189655,1.230025
3.719913,1.190856,1.231341
3.724912,1.193796,1.233316
3.729912,1.195683,1.234632
3.734912,1.198668,1.236608
3.739911,1.200405,1.237926
3.744911,1.203412,1.239902
3.749911,1.206140,1.241220
3.754910,1.209212,1.243197
3.759910,1.211520,1.244516
3.764910,1.214652,1.246494
3.769909,1.215965,1.247814
3.774909,1.219059,1.249793
3.779908,1.220072,1.251113
3.784908,1.223132,1.253093
3.789908,1.225243,1.254413
3.794907,1.228339,1.256394
3.799907,1.230215,1.257715
3.804907,1.233313,1.259697
3.809906,1.235165,1.261019
3.814906,1.238283,1.263002
3.819906,1.240212,1.264324
3.824905,1.243330,1.266308
3.829905,1.244725,1.267631
3.834904,1.247823,1.269615
3.839904,1.249601,1.270939
3.844904,1.252707,1.272924
3.849903,1.254690,1.274248
3.854903,1.257822,1.276235
3.859903,1.259754,1.277560
3.864902,1.262900,1.279547
3.869902,1.265514,1.280872
3.874902,1.268711,1.282860
3.879901,1.270076,1.284186
3.884901,1.273253,1.286175
3.889900,1.276224,1.287501
3.894900,1.279475,1.289492
3.899900,1.281046,1.290819
3.904899,1.284286,1.292809
3.909899,1.286329,1.294137
3.914899,1.289588,1.296129
3.919898,1.291733,1.297457
3.924898,1.295027,1.299450
3.929898,1.297521,1.300778
3.934897,1.300856,1.302772
3.939897,1.302703,1.304101
3.944896,1.306053,1.306095
3.949896,1.307064,1.307425
3.954896,1.310387,1.309421
3.959895,1.310900,1.310751
3.964895,1.314162,1.312747
3.969895,1.316598,1.314078
3.974894,1.319891,1.316075
3.979894,1.320891,1.317407
3.984894,1.324167,1.319405
3.989893,1.325867,1.320737
3.994893,1.329157,1.322735
3.999892,1.330699,1.324068
4.004892,1.333986,1.326068
4.009892,1.337173,1.327401
4.014892,1.340521,1.329401
4.019891,1.342117,1.330735
4.024891,1.345461,1.332737
4.029891,1.347659,1.334071
4.034890,1.351044,1.336073
4.039890,1.352821,1.337408
4.044889,1.356232,1.339411
4.049889,1.359020,1.340747
4.054889,1.362470,1.342751
4.059888,1.364841,1.344087
4.064888,1.368329,1.346092
4.069888,1.370293,1.347428
4.074887,1.373775,1.349434
4.079887,1.376215,1.350771
4.084887,1.379723,1.352777
4.089886,1.382874,1.354115
4.094886,1.386463,1.356122
4.099885,1.389066,1.357461
4.104885,1.392721,1.359469
4.109885,1.395198,1.360808
4.114884,1.398878,1.362817
4.119884,1.401506,1.364156
4.124884,1.405248,1.366166
4.129883,1.407430,1.367506
4.134883,1.411172,1.369517
4.139883,1.413695,1.370857
4.144882,1.417465,1.372869
4.149882,1.420581,1.374210
4.154881,1.424444,1.376222
4.159881,1.426888,1.377564
4.164881,1.430824,1.379577
4.169880,1.433296,1.380919
4.174880,1.437279,1.382933
4.179880,1.439813,1.384276
4.184879,1.443858,1.386291
4.189879,1.447155,1.387634
4.194879,1.451267,1.389650
4.199878,1.453866,1.390994
4.204878,1.458005,1.393010
4.209877,1.460772,1.394354
4.214877,1.464941,1.396372
4.219877,1.467924,1.397717
4.224876,1.472138,1.399735
4.229876,1.475482,1.401080
4.234876,1.479769,1.403099
4.239875,1.482785,1.404445
4.244875,1.487123,1.406465
4.249875,1.490201,1.407812
4.254874,1.494614,1.409832
4.259874,1.497959,1.411179
4.264874,1.502409,1.413200
4.269873,1.505374,1.414548
4.274873,1.509851,1.416570
4.279872,1.512904,1.417919
4.284872,1.517421,1.419941
4.289872,1.519799,1.421290
4.294871,1.524331,1.423314
4.299871,1.527733,1.424663
4.304871,1.532299,1.426688
4.309870,1.535437,1.428038
4.314870,1.540051,1.430063
4.319870,1.542669,1.431414
4.324869,1.547255,1.433440
4.329869,1.550635,1.434791
4.334868,1.555266,1.436818
4.339868,1.558100,1.438169
4.344868,1.562748,1.440197
4.349867,1.565545,1.441549
4.354867,1.570196,1.443577
4.359867,1.573071,1.444930
4.364866,1.577764,1.446959
4.369866,1.581095,1.448313
4.374866,1.585825,1.450343
4.379865,1.589283,1.451696
4.384865,1.594093,1.453727
4.389864,1.597310,1.455081
4.394864,1.602140,1.457113
4.399864,1.605204,1.458468
4.404863,1.610080,1.460500
4.409863,1.613617,1.461855
4.414863,1.618550,1.463889
4.419862,1.621713,1.465244
4.424862,1.626669,1.467278
4.429862,1.630106,1.468635
4.434861,1.635044,1.470670
4.439861,1.638337,1.472026
4.444860,1.643298,1.474062
4.449860,1.646379,1.475419
4.454860,1.651388,1.477456
4.459859,1.655013,1.478814
4.464859,1.660026,1.480851
4.469859,1.663364,1.482209
4.474858,1.668398,1.484247
4.479858,1.671650,1.485606
4.484858,1.676702,1.487645
4.489857,1.679874,1.489004
4.494857,1.684947,1.491044
4.499856,1.688228,1.492404
4.504856,1.693354,1.494444
4.509856,1.696811,1.495805
4.514855,1.702012,1.497846
4.519855,1.705518,1.499207
4.524855,1.710747,1.501249
4.529854,1.714241,1.502610
4.534854,1.719500,1.504653
4.539854,1.722996,1.506015
4.544853,1.728240,1.508059
4.549853,1.731763,1.509421
4.554852,1.737053,1.511465
4.559852,1.740580,1.512828
4.564852,1.745888,1.514874
4.569851,1.749431,1.516237
4.574851,1.754754,1.518283
4.579851,1.758295,1.519647
4.584850,1.763622,1.521693
4.589850,1.767159,1.523058
4.594850,1.772492,1.525105
4.599849,1.776069,1.526470
4.604849,1.781447,1.528518
4.609848,1.785058,1.529884
4.614848,1.790480,1.531933
4.619848,1.794083,1.533299
4.624847,1.799543,1.535349
4.629847,1.803220,1.536715
